Rank,Title,Year,IMDb Rating,Votes,Genre,Runtime
233,Lion,2016,8.065,6582,Drama,118
234,A Dog's Journey,2019,8.1,1533,"Family, Adventure, Drama",109
235,Hidden Figures,2016,8.058,9799,"Drama, History",127
236,Memories of Murder,2003,8.059,3886,"Crime, Drama, Thriller",131
237,Me Against You: Mr. S's Vendetta,2020,8.056,467,"Family, Fantasy",64
238,A Special Day,1977,8.056,664,"Drama, Romance",106
239,Ran,1985,8.1,1568,"Action, Drama, History",160
240,The Count of Monte Cristo,2024,8.055,1361,"Action, Adventure, Drama",178
241,Ayla: The Daughter of War,2017,8.049,364,"Drama, War, History",124
242,The Young and the Damned,1950,8.047,490,"Drama, Crime",82
243,Elite Squad,2007,8.046,2445,"Drama, Action, Crime",115
244,Bo Burnham: Make Happy,2016,8.0,384,"Comedy, Music",60
245,The Second Mother,2015,8.044,733,Drama,112
246,My Name Is Khan,2010,8.0,1322,"Drama, Romance",165
247,Paper Lives,2021,8.0,382,Drama,96
248,The Grand Budapest Hotel,2014,8.043,14934,"Comedy, Drama",100
249,Judgment at Nuremberg,1961,8.037,805,"Drama, History",191
250,To Live,1994,8.0,319,"Drama, Romance, War",133
251,The Elephant Man,1980,8.0,3547,"Drama, History",124
252,Amadeus,1984,8.0,4281,"History, Music, Drama",160
253,The Lives of Others,2006,8.033,3712,"Drama, Thriller",137
254,On My Skin,2018,8.031,1857,Drama,100
255,The Wolf of Wall Street,2013,8.0,24258,"Crime, Drama, Comedy",180
256,The 400 Blows,1959,8.0,2159,Drama,99
257,How to Train Your Dragon: Homecoming,2019,8.0,974,"Animation, Fantasy, Adventure, Action, Family",22
258,The Sting,1973,8.0,2638,"Comedy, Crime, Drama",129
259,Robot Dreams,2023,8.0,611,"Animation, Drama, Comedy, Science Fiction",102
260,Bo Burnham: Inside,2021,8.0,510,"Comedy, Drama",87
261,Beyond the Universe,2022,8.023,323,"Romance, Drama",126
262,"Veinteañera, divorciada y fantástica",2020,8.0,387,Comedy,93
263,The Wages of Fear,1953,8.018,963,"Drama, Thriller, Adventure",153
264,Rocco and His Brothers,1960,8.0,597,"Drama, Romance",178
265,Gifted,2017,8.021,5556,"Drama, Comedy",101
266,Dial M for Murder,1954,8.02,2615,"Thriller, Crime",105
267,"Toto, Peppino, and the Hussy",1956,8.0,351,"Comedy, Romance",101
268,Jojo Rabbit,2019,8.015,9645,"Comedy, War, Drama",108
269,For a Few Dollars More,1965,8.0,4030,Western,132
270,Flipped,2010,8.0,3053,"Romance, Drama",89
271,Harry Potter and the Prisoner of Azkaban,2004,8.014,21818,"Adventure, Fantasy",141
272,Requiem for a Dream,2000,8.015,10082,"Crime, Drama",102
273,"Rome, Open City",1945,8.014,888,"Drama, War",103
274,Room,2015,8.013,9234,"Drama, Thriller",118
275,El mesero,2021,8.0,350,Comedy,86
276,American Beauty,1999,8.011,12143,Drama,122
277,Hachi: A Dog's Tale,2009,8.007,6748,"Drama, Family",93
278,Society of the Snow,2023,8.0,3043,"Drama, History",144
279,Song of the Sea,2014,8.007,1436,"Family, Animation, Fantasy",94
280,Ford v Ferrari,2019,8.0,8109,"Drama, Action, History",153
281,Casino,1995,8.0,5905,"Crime, Drama",179
282,Weathering with You,2019,8.0,2329,"Animation, Drama, Fantasy, Romance",112
283,Cruella,2021,8.001,9433,"Comedy, Crime, Family, Adventure",134
284,3 Idiots,2009,8.0,2417,"Drama, Comedy",171
285,Barry Lyndon,1975,8.001,2853,"Drama, Romance, War, History",185
286,"Love, Simon",2018,8.0,6052,"Comedy, Drama, Romance",110
287,Death Note Relight 1: Visions of a God,2007,8.0,328,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation",131
288,All Your Faces,2023,7.999,583,Drama,115
289,Black Beauty,2020,8.0,339,Drama,110
290,Tae Guk Gi: The Brotherhood of War,2004,8.004,680,"Action, Adventure, Drama, History, War",148
291,Loving Vincent,2017,7.998,2466,"Animation, Drama, Mystery, History",95
292,Late Spring,1949,8.0,424,Drama,110
293,Lawrence of Arabia,1962,7.997,3060,"Adventure, History, War",228
294,Citizen Kane,1941,7.998,5574,"Mystery, Drama",119
295,The Imitation Game,2014,7.996,17131,"History, Drama, Thriller, War",113
296,Paperman,2012,7.996,1724,"Animation, Family, Romance",7
297,Sound of Freedom,2023,8.0,2476,"Action, Drama",131
298,Kill Bill: The Whole Bloody Affair,2011,8.0,1031,"Action, Crime, Thriller",247
299,The Deer Hunter,1978,7.993,3849,"Drama, War",183
300,To Kill a Mockingbird,1962,8.0,2632,Drama,129
301,The Secret in Their Eyes,2009,8.0,2567,"Mystery, Thriller, Drama",130
302,Gran Torino,2008,7.99,10775,Drama,116
303,Autumn Sonata,1978,8.0,617,Drama,93
304,"Red, White & Royal Blue",2023,7.988,1315,"Comedy, Romance",121
305,1917,2019,7.988,12549,"War, History, Thriller, Drama",119
306,In a Heartbeat,2017,8.0,995,"Animation, Romance, Comedy",4
307,Nights of Cabiria,1957,7.988,771,Drama,110
308,The Passion of Joan of Arc,1928,7.982,958,"Drama, History",82
309,Bingo: The King of the Mornings,2017,7.986,389,"Comedy, Drama",113
310,Scooby-Doo! and Kiss: Rock and Roll Mystery,2015,8.0,320,"Family, Animation, Comedy, Mystery",79
311,Like Stars on Earth,2007,7.986,1181,Drama,162
312,Love Exposure,2009,8.0,447,"Action, Comedy, Drama, Romance",237
313,The Gold Rush,1925,7.981,1625,"Adventure, Comedy, Drama",95
314,Bohemian Rhapsody,2018,7.982,16956,"Music, Drama",135
315,Ugetsu,1953,8.0,578,"Fantasy, Drama, Mystery",96
316,North by Northwest,1959,7.98,4138,"Thriller, Adventure",136
317,Andrei Rublev,1966,8.0,836,"Drama, History",205
318,Catch Me If You Can,2002,7.98,15814,"Drama, Crime",141
319,Chungking Express,1994,8.0,1850,"Drama, Comedy, Romance",103
320,Castle in the Sky,1986,7.974,4248,"Adventure, Fantasy, Animation, Action, Family",125
321,Mirror,1975,7.974,962,"Drama, History",106
322,Nobody Knows,2004,7.969,534,Drama,141
323,Kill Bill: Vol. 1,2003,7.971,17581,"Action, Crime",111
324,Toy Story,1995,7.97,18580,"Animation, Adventure, Family, Comedy",81
325,Monster,2023,7.969,616,"Mystery, Thriller, Drama",125
326,Before Sunrise,1995,8.0,4200,"Drama, Romance",101
327,Flamin' Hot,2023,7.971,684,"Drama, History",99
328,Kitbull,2019,8.0,369,"Animation, Family, Drama",9
329,Three Men and a Leg,1997,8.0,2081,Comedy,98
330,Castaway on the Moon,2009,7.963,676,"Drama, Comedy, Romance",119
331,Trainspotting,1996,7.961,9710,"Drama, Crime",94
332,The Boy and the Beast,2015,7.959,1491,"Action, Adventure, Animation, Drama, Family, Fantasy",119
333,La Notte,1961,8.0,675,"Drama, Romance",122
334,Up,2009,7.959,20398,"Animation, Comedy, Family, Adventure",96
335,Pink Floyd: The Wall,1982,7.958,1498,"Music, Drama",95
336,The Hidden Fortress,1958,8.0,625,"Drama, Action, Adventure",139
337,The Circus,1928,8.0,802,"Comedy, Family, Romance",72
338,Guardians of the Galaxy Vol. 3,2023,7.956,7094,"Science Fiction, Adventure, Action",150
339,Million Dollar Baby,2004,7.954,9663,Drama,132
340,The Treasure of the Sierra Madre,1948,7.953,1215,"Adventure, Drama, Western",126
341,The General,1926,7.951,1264,"Comedy, Action, Adventure, War",79
342,The Sixth Sense,1999,7.952,11842,"Mystery, Thriller, Drama",107
343,Spider-Man: No Way Home,2021,8.0,20448,"Action, Adventure, Science Fiction",148
344,The Red Shoes,1948,8.0,669,"Drama, Romance",133
345,Aliens,1986,8.0,9919,"Action, Thriller, Science Fiction",137
346,Jurassic Park,1993,7.951,16469,"Adventure, Science Fiction",127
347,The Way He Looks,2014,8.0,941,"Drama, Romance",96
348,Tel chi el telùn,1999,8.0,322,Comedy,120
349,Dersu Uzala,1975,7.95,547,"Action, Adventure, Drama",141
350,The Iron Giant,1999,7.949,5660,"Family, Animation, Science Fiction, Adventure",86
351,Nausicaä of the Valley of the Wind,1984,8.0,3637,"Adventure, Animation, Fantasy",117
352,Whisper of the Heart,1995,7.948,2021,"Animation, Drama, Family",111
353,Miracle in Cell No. 7,2013,7.947,445,"Drama, Comedy",127
354,The Cure,1995,7.947,309,"Drama, Family",97
