Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
1209,13 Hours: The Secret Soldiers of Benghazi,Movie,2016.0,War,"17,600,000",17.6M
1212,Call Me Chihiro,Movie,2023.0,Drama,"17,600,000",17.6M
1213,Loving Adults,Movie,2022.0,Crime,"17,600,000",17.6M
1215,The Bourne Legacy,Movie,2012.0,Action,"17,600,000",17.6M
1228,Harry Potter and the Half-Blood Prince,Movie,2009.0,Fantasy,"17,400,000",17.4M
1232,Jurassic Park,Movie,1993.0,Science Fiction,"17,400,000",17.4M
1236,Secret Magic Control Agency,Movie,2021.0,Animation,"17,400,000",17.4M
1237,The Great Wall,Movie,2016.0,Adventure,"17,400,000",17.4M
1240,The Hurricane Heist,Movie,2018.0,Drama,"17,300,000",17.3M
1246,The Twilight Saga: Breaking Dawn - Part 2,Movie,2012.0,Fantasy,"17,200,000",17.2M
1247,Burlesque,Movie,2010.0,Musical,"17,100,000",17.1M
1260,How the Grinch Stole Christmas,Movie,2000.0,Fantasy,"16,900,000",16.9M
1263,How to Train Your Dragon,Movie,2010.0,Animation,"16,900,000",16.9M
1264,Howls Moving Castle,Movie,2004.0,Animation,"16,900,000",16.9M
1265,Knight and Day,Movie,2010.0,Action,"16,900,000",16.9M
1270,Kate,Movie,2021.0,Action,"16,800,000",16.8M
1273,Not Quite Narwhal,Movie,2023.0,Animation,"16,800,000",16.8M
1275,Re/Member,Movie,2022.0,Horror,"16,800,000",16.8M
1277,The Price of Family,Movie,2022.0,Comedy,"16,800,000",16.8M
1278,The Takedown,Movie,2022.0,Comedy,"16,800,000",16.8M
1282,Enola Holmes,Movie,2020.0,Adventure,"16,700,000",16.7M
1284,47 Meters Down: Uncaged,Movie,2019.0,Horror,"16,600,000",16.6M
1285,Asterix & Obelix: The Middle Kingdom,Movie,2023.0,Adventure,"16,600,000",16.6M
1289,The Glass Castle,Movie,2017.0,Drama,"16,600,000",16.6M
1290,The Vault,Movie,2021.0,Drama,"16,600,000",16.6M
1291,The Wonder,Movie,2022.0,Drama,"16,600,000",16.6M
1293,Lost Bullet 2,Movie,2022.0,Action,"16,500,000",16.5M
1294,Phenomena,Movie,2023.0,Horror,"16,500,000",16.5M
1296,The Highwaymen,Movie,2019.0,Crime,"16,500,000",16.5M
1299,Baywatch,Movie,2017.0,Action,"16,500,000",16.5M
1301,Flushed Away,Movie,2006.0,Animation,"16,500,000",16.5M
1303,Instant Family,Movie,2018.0,Comedy,"16,500,000",16.5M
1305,Lesson Plan,Movie,2022.0,Crime,"16,500,000",16.5M
1312,The Invitation,Movie,2022.0,Horror,"16,400,000",16.4M
1315,A Dog's Purpose,Movie,2017.0,Drama,"16,300,000",16.3M
1316,Bumblebee,Movie,2018.0,Science Fiction,"16,300,000",16.3M
1317,Harry Potter and the Order of the Phoenix,Movie,2007.0,Fantasy,"16,300,000",16.3M
1322,The Thing,Movie,2011.0,Science Fiction,"16,300,000",16.3M
1323,21 Jump Street,Movie,2012.0,Action,"16,200,000",16.2M
1324,Bad Boys,Movie,1995.0,Action,"16,200,000",16.2M
1325,Blood Red Sky,Movie,2021.0,Horror,"16,200,000",16.2M
1326,Catch Me If You Can,Movie,2002.0,Crime,"16,200,000",16.2M
1330,Spirit: Stallion of the Cimarron,Movie,2002.0,Animation,"16,200,000",16.2M
1332,The Guilty,Movie,2021.0,Crime,"16,200,000",16.2M
1338,Look Both Ways,Movie,2022.0,Comedy,"16,100,000",16.1M
1349,Spider-Man,Movie,2002.0,Superhero,"16,000,000",16.0M
1355,Spider-Man 3,Movie,2007.0,Superhero,"15,900,000",15.9M
1357,Spirited Away,Movie,2001.0,Animation,"15,900,000",15.9M
1362,Barbie: Mermaid Power,Movie,2022.0,Animation,"15,800,000",15.8M
1363,Cloudy with a Chance of Meatballs,Movie,2009.0,Animation,"15,800,000",15.8M
1368,El Camino: A Breaking Bad Movie,Movie,2019.0,Crime,"15,700,000",15.7M
1371,Polar,Movie,2019.0,Action,"15,700,000",15.7M
1373,The Kissing Booth 3,Movie,2021.0,Comedy,"15,700,000",15.7M
1375,An Action Hero,Movie,2022.0,Action,"15,600,000",15.6M
1377,Mowgli: Legend of the Jungle,Movie,2018.0,Adventure,"15,600,000",15.6M
1378,To All the Boys: P.S. I Still Love You,Movie,2020.0,Romance,"15,500,000",15.5M
1384,I Came By,Movie,2022.0,Crime,"15,500,000",15.5M
1389,My Little Pony: A New Generation,Movie,2021.0,Animation,"15,400,000",15.4M
1391,Riddick,Movie,2013.0,Science Fiction,"15,400,000",15.4M
1393,The Godfather,Movie,1972.0,Drama,"15,400,000",15.4M
1394,The Kingdom,Movie,2007.0,Action,"15,400,000",15.4M
1395,Abduction,Movie,2011.0,Action,"15,300,000",15.3M
1398,Persuasion,Movie,2022.0,Drama,"15,300,000",15.3M
1399,The Lord of the Rings: The Fellowship of the Ring,Movie,2001.0,Fantasy,"15,300,000",15.3M
1406,The Son,Movie,2022.0,Drama,"15,200,000",15.2M
1409,47 Ronin,Movie,2013.0,Fantasy,"15,100,000",15.1M
1411,Devotion,Movie,2022.0,War,"15,100,000",15.1M
1412,He's All That,Movie,2021.0,Comedy,"15,100,000",15.1M
1413,The Mummy,Movie,1999.0,Adventure,"15,100,000",15.1M
1414,365 Days : This Day,Movie,2022.0,Romance,"15,000,000",15.0M
1416,Fury,Movie,2014.0,War,"15,000,000",15.0M
1420,Transformers,Movie,2007.0,Science Fiction,"15,000,000",15.0M
1421,G.I. Joe: Retaliation,Movie,2013.0,Action,"14,900,000",14.9M
1426,Storks,Movie,2016.0,Animation,"14,800,000",14.8M
1429,Eat Pray Love,Movie,2010.0,Drama,"14,700,000",14.7M
1430,Gridiron Gang,Movie,2006.0,Crime,"14,700,000",14.7M
1431,Gumraah,Movie,2023.0,Crime,"14,700,000",14.7M
1432,Little Women,Movie,2019.0,Drama,"14,700,000",14.7M
1439,John Wick: Chapter 3 – Parabellum,Movie,2019.0,Action,"14,600,000",14.6M
1440,Jungle Beat: The Movie,Movie,2020.0,Animation,"14,600,000",14.6M
1444,Gods of Egypt,Movie,2016.0,Adventure,"14,500,000",14.5M
