Rank,Title,Type,Premiere,Watchtime_M,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Concerts,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Fairy Tale,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Musical,Genre_Reality-Show,Genre_Romance,Genre_Science Fiction,Genre_Sports,Genre_Stand-Up,Genre_Superhero,Genre_Thriller,Genre_War,Genre_Western
463,Back to the Outback,Movie,2021.0,0.1501200960768615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,2 Guns,Movie,2013.0,0.14811849479583666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,"Lyle, Lyle, Crocodile",Movie,2022.0,0.14811849479583666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,Queens on the Run,Movie,2023.0,0.14811849479583666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,The Mitchells vs. The Machines,Movie,2021.0,0.14731785428342672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,Troll,Movie,2022.0,0.14611689351481186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
491,Chris Rock: Selective Outrage,Movie,2023.0,0.144515612489992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
493,Grown Ups,Movie,2010.0,0.144515612489992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,Let Him Go,Movie,2020.0,0.144515612489992,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,A Quiet Place Part II,Movie,2021.0,0.14371497197758207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
