Rank,Title,Type,Premiere,Genre,Watchtime_M
859,The Angry Birds Movie 2,Movie,2019.0,Animation,24.3
863,Nobody,Movie,2021.0,Action,24.2
873,Make Me Believe,Movie,2023.0,Comedy,24.0
874,The Kissing Booth,Movie,2018.0,Comedy,24.0
877,We're the Millers,Movie,2013.0,Comedy,24.0
879,Rango,Movie,2011.0,Animation,23.9
880,Sniper: Ultimate Kill,Movie,2017.0,Action,23.9
882,The SpongeBob SquarePants Movie,Movie,2004.0,Animation,23.9
887,Grown Ups 2,Movie,2013.0,Comedy,23.7
891,Hard Feelings,Movie,2023.0,Comedy,23.6
892,Harry Potter and the Chamber of Secrets,Movie,2002.0,Fantasy,23.6
904,Black Crab,Movie,2022.0,Science Fiction,23.3
907,The Harder They Fall,Movie,2021.0,Western,23.3
911,Senior Year,Movie,2022.0,Comedy,23.2
912,Snake Eyes: G.I. Joe Origins,Movie,2021.0,Action,23.2
913,To All the Boys I've Loved Before,Movie,2018.0,Romance,23.2
914,Fifty Shades of Grey,Movie,2015.0,Romance,23.1
916,Inside Man,Movie,2006.0,Crime,23.1
920,Sweet Girl,Movie,2021.0,Action,23.1
924,Inheritance,Movie,2020.0,Thriller,23.0
928,The Adventures of Sharkboy and Lavagirl,Movie,2005.0,Adventure,23.0
934,Shrek the Third,Movie,2007.0,Animation,22.9
941,Madagascar,Movie,2005.0,Animation,22.7
946,Enough,Movie,2002.0,Action,22.6
950,Smurfs: The Lost Village,Movie,2017.0,Animation,22.5
951,Money Shot: The Pornhub Story,Movie,2023.0,Documentary,22.4
956,King Kong,Movie,2005.0,Science Fiction,22.3
957,Pinkfong & Baby Shark's Space Adventure,Movie,2019.0,Animation,22.3
961,Tears of the Sun,Movie,2003.0,Action,22.2
962,The SpongeBob Movie: Sponge Out of Water,Movie,2015.0,Animation,22.2
966,Over the Moon,Movie,2020.0,Animation,22.0
971,Squared Love All Over Again,Movie,2023.0,Comedy,21.9
972,Take Care of Maya,Movie,2023.0,Documentary,21.9
974,Twilight,Movie,2008.0,Fantasy,21.9
980,World War Z,Movie,2013.0,Horror,21.8
981,10 Days of a Good Man,Movie,2023.0,Crime,21.7
995,Black Clover: Sword of the Wizard King,Movie,2023.0,Animation,21.5
999,Hard Target 2,Movie,2016.0,Action,21.4
1007,Luckiest Girl Alive,Movie,2022.0,Drama,21.2
1018,The Wrong Missy,Movie,2020.0,Comedy,21.0
1019,Chokehold,Movie,2023.0,Crime,21.0
1020,Coach Carter,Movie,2005.0,Drama,21.0
1026,The Last Stand,Movie,2013.0,Action,20.9
1034,The Condemned,Movie,2007.0,Action,20.8
1035,Where the Tracks End,Movie,2023.0,Comedy,20.8
1039,Project Power,Movie,2020.0,Action,20.7
1043,The Hunger Games: Mockingjay - Part 2,Movie,2015.0,Science Fiction,20.6
1047,Tyler Perry's A Madea Homecoming,Movie,2022.0,Comedy,20.4
